#: table_doi: 10.17182/hepdata.155340.v1/t1
#: name: Table III: Cross section in energy range 0.62-1.05 GeV
#: description: Energy bin range ($\sqrt{s'}$), number of events after unfolding ($N_{\mathrm{unf}}$), corrected efficiency ($\varepsilon$), and cross section ($\sigma_{3\pi}$) for $e^{+}e^{-} \to \pi^{+} \pi^{-} \pi^{0}$ in energy range 0.62--1.05~GeV. The two uncertainties in the cross section are the statistical and systematic contributions. The statistical uncertainties for the unfolding and cross section are square roots of the diagonal components of the unfolding covariance matrix. The image shows Figure 23 in the PRD paper, and the points with error bars indicate the cross section in the table.
#: data_file: table_iii:_cross_section_in_energy_range_0.62-1.05_gev.yaml
#: keyword reactions: E+E- --> PI+ PI- PI0
#: keyword phrases: Exclusive | Cross section | E+ E- Scattering
#: keyword cmenergies: 0.62-1.05
#: keyword observables: SIG
$\sqrt{s'}$ [GeV],$\sqrt{s'}$ [GeV] LOW,$\sqrt{s'}$ [GeV] HIGH,The number of events after unfolding ($N_{\mathrm{unf}}$),Statistical uncertainty +,Statistical uncertainty -
0.8162499999999999,0.815,0.8175,41.71,3.04,-3.04,1.46,-1.46
0.81875,0.8175,0.82,38.26,4.39,-4.39,1.94,-1.94
0.82125,0.82,0.8225,32.49,3.27,-3.27,2.52,-2.52
0.82375,0.8225,0.825,29.65,3.57,-3.57,2.31,-2.31
0.8262499999999999,0.825,0.8275,26.59,3.15,-3.15,0.88,-0.88
0.82875,0.8275,0.83,21.42,3.47,-3.47,2.47,-2.47
0.83125,0.83,0.8325,14.68,1.66,-1.66,0.79,-0.79
0.83375,0.8325,0.835,14.25,2.24,-2.24,0.89,-0.89
0.8362499999999999,0.835,0.8375,20.24,2.23,-2.23,1.65,-1.65
0.83875,0.8375,0.84,19.5,2.65,-2.65,1.09,-1.09
0.84125,0.84,0.8425,19.46,2.29,-2.29,2.22,-2.22
0.84375,0.8425,0.845,16.73,2.25,-2.25,0.86,-0.86
0.84625,0.845,0.8475,18.68,2.57,-2.57,1.03,-1.03
0.84875,0.8475,0.85,17.13,1.73,-1.73,1.3,-1.3
0.8512500000000001,0.85,0.8525,18.58,2.79,-2.79,0.65,-0.65
0.85375,0.8525,0.855,14.27,2.28,-2.28,0.99,-0.99
0.85625,0.855,0.8575,10.59,2.21,-2.21,0.94,-0.94
0.85875,0.8575,0.86,14.53,1.99,-1.99,0.44,-0.44
0.8612500000000001,0.86,0.8625,13.41,1.9,-1.9,0.49,-0.49
0.86375,0.8625,0.865,13.14,1.85,-1.85,0.47,-0.47
0.86625,0.865,0.8675,13.36,1.88,-1.88,1.08,-1.08
0.86875,0.8675,0.87,11.58,1.81,-1.81,1.55,-1.55
0.8712500000000001,0.87,0.8725,14.26,2.12,-2.12,0.89,-0.89
0.87375,0.8725,0.875,13.65,1.81,-1.81,1.07,-1.07
0.87625,0.875,0.8775,13.4,1.64,-1.64,1.11,-1.11
0.8787499999999999,0.8775,0.88,8.95,1.92,-1.92,1.12,-1.12
0.88125,0.88,0.8825,12.06,1.38,-1.38,0.62,-0.62
0.88375,0.8825,0.885,10.57,1.97,-1.97,0.7,-0.7
0.88625,0.885,0.8875,12.14,1.56,-1.56,0.66,-0.66
0.8887499999999999,0.8875,0.89,8.74,1.88,-1.88,0.63,-0.63
0.89125,0.89,0.8925,10.55,2.08,-2.08,1.19,-1.19
0.89375,0.8925,0.895,10.82,1.64,-1.64,1.62,-1.62
0.89625,0.895,0.8975,10.84,1.31,-1.31,0.6,-0.6
0.8987499999999999,0.8975,0.9,11.01,1.18,-1.18,0.69,-0.69
0.90125,0.9,0.9025,12.3,1.86,-1.86,0.55,-0.55
0.90375,0.9025,0.905,7.0,1.74,-1.74,0.44,-0.44
0.90625,0.905,0.9075,11.82,1.48,-1.48,0.34,-0.34
0.90875,0.9075,0.91,11.28,1.87,-1.87,0.99,-0.99
0.91125,0.91,0.9125,10.7,1.35,-1.35,1.06,-1.06
0.9137500000000001,0.9125,0.915,11.13,1.51,-1.51,0.46,-0.46
0.91625,0.915,0.9175,10.94,1.42,-1.42,1.39,-1.39
0.91875,0.9175,0.92,12.48,2.7,-2.7,1.22,-1.22
0.92125,0.92,0.9225,9.93,1.31,-1.31,0.28,-0.28
0.9237500000000001,0.9225,0.925,10.06,1.78,-1.78,1.06,-1.06
0.92625,0.925,0.9275,11.01,1.35,-1.35,0.79,-0.79
0.92875,0.9275,0.93,6.85,1.65,-1.65,0.49,-0.49
0.93125,0.93,0.9325,10.45,1.7,-1.7,0.63,-0.63
0.9337500000000001,0.9325,0.935,11.14,1.32,-1.32,0.64,-0.64
0.93625,0.935,0.9375,11.71,1.86,-1.86,0.54,-0.54
0.93875,0.9375,0.94,10.16,1.47,-1.47,0.88,-0.88
0.9412499999999999,0.94,0.9425,11.42,1.39,-1.39,0.58,-0.58
0.94375,0.9425,0.945,14.63,2.9,-2.9,1.75,-1.75
0.94625,0.945,0.9475,11.89,1.8,-1.8,0.72,-0.72
0.94875,0.9475,0.95,10.92,1.4,-1.4,0.26,-0.26
0.9512499999999999,0.95,0.9525,12.37,1.68,-1.68,0.34,-0.34
0.95375,0.9525,0.955,9.97,1.39,-1.39,0.57,-0.57
0.95625,0.955,0.9575,12.75,1.73,-1.73,0.31,-0.31
